program,-1,-1,1
factorial?,-55,-2,1
;,-75,-1,1
var,-15,-1,2
int,-11,-1,3
:,-77,-1,3
n&,-51,-2,3
;,-75,-1,3
int,-11,-1,4
:,-77,-1,4
fact&,-51,-2,4
;,-75,-1,4
begin,-2,-1,5
write,-5,-1,6
(,-73,-1,6
"Ingrese un numero: ",-63,-1,6
),-74,-1,6
;,-75,-1,6
read,-4,-1,7
(,-73,-1,7
n&,-51,-2,7
),-74,-1,7
;,-75,-1,7
fact&,-51,-2,8
:=,-26,-1,8
1,-61,-1,8
;,-75,-1,8
while,-8,-1,9
(,-73,-1,9
n&,-51,-2,9
>,-33,-1,9
0,-61,-1,9
),-74,-1,9
do,-17,-1,9
begin,-2,-1,10
fact&,-51,-2,11
:=,-26,-1,11
fact&,-51,-2,11
*,-21,-1,11
n&,-51,-2,11
;,-75,-1,11
n&,-51,-2,12
:=,-26,-1,12
n&,-51,-2,12
-,-25,-1,12
1,-61,-1,12
;,-75,-1,12
end,-3,-1,13
write,-5,-1,14
(,-73,-1,14
fact&,-51,-2,14
),-74,-1,14
;,-75,-1,14
end,-3,-1,15
